ID,cms_name,version_range,patch_commit_parent_id,patch_commit_id,cms_url,sink_file,version_header,version_header_sha
44,FusionPBX?,up to v4.5.7,1f162cd95fa1da353d3bc747f31477d31a6471d3,d3679bbeface57a21f6623cbc193b04a7fc0a885,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
45,FusionPBX?,up to v4.5.7,63da47f86e324922ce42836e522e4443c20de5ff,913ad234cf145a55e5f2faaab08d776d83c1699b,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
46,FusionPBX?,4.4.1,b584973e73a4d25be623c9748dd9817f69422ecc,9e837fadecdd5199819a949b5b1bd84b19f716f2,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
47,FusionPBX?,4.4.1,c9ebd1a0156d642c7f17d7d73c41050e21d44cd2,44edbfe7a7e256d1b80448026617365a40c92c61,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
48,FusionPBX?,up to v4.5.7,618547f3141c4d3dc9a21c8e4fd63769aecbf3ca,11f2dd2254dbeb1c41bf19b8c38e8fa9bc948efb,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
49,FusionPBX?,up to v4.5.7,021ff8f8e51cd1254d19e88e7aedc4b795067f8d,7fec1014ff0d08e36be6a3f7664edb3a9df7b4ac,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
50,FusionPBX?,up to v4.5.7,0199f3756b7cb1799b2dcc39ccf179f720b09dee,83123e314a2e4c2dd0815446f89bcad97278d98d,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
51,gburton,2.3.3.4 and earlier,a321ba9d5def15a9edbd4220ba166317ad19e9ed,e4d90eccd7d9072ebe78da4c38fb048bfe31c902,https://github.com/gburton/oscommerce2,,v2.3.4,329d51a
51,gburton,2.3.3.4 and earlier,a321ba9d5def15a9edbd4220ba166317ad19e9ed,e4d90eccd7d9072ebe78da4c38fb048bfe31c902,https://github.com/gburton/oscommerce2,,v2.3,6ce0827
52,GetSimpleCMS,?3.3.15,4c4c12d17f50e02f5f8778808daa35855a2db74c,764abc9162fd244ddd387ee52058ec6bf31cfc09,https://github.com/GetSimpleCMS/GetSimpleCMS,,,Not Found!
53,Gila,< 1.11.4,3c8c5bee1875c2532f5f78d2ee70d96a11d3bf23,9fa8ab20792800e9cfb7ed3dcba431f0c3c355cb,https://github.com/GilaCMS/gila,,1.11.11,5efa0b8
54,Gila,1.11.8,a8b986405550bc856d2f8208bb577850db4b88c3,afbbaae9634b14abda398404e31faa74dcceaaf8,https://github.com/GilaCMS/gila,,1.11.6,df5ae26
55,GLPI?,9.2.1,a47b59079d8f4c55c195861d405a0df07a62b60b,4efc5cf52a7c2df6a82399ea4c804238da2d33ab,https://github.com/glpi-project/glpi,,9.2.1,3a7c596
